pygeostat_saved_data
4
HoleID
X
Y
Keyout
1. 85. 2215. 0.
2. 1105. 2085. 0.
3. 405. 1715. 1.
4. 195. 2055. 0.
5. 235. 1865. 1.
6. 325. 1455. 1.
7. 675. 1345. 1.
8. 355. 1865. 1.
9. 295. 1945. 1.
10. 885. 1295. 1.
11. 75. 1915. 0.
12. 475. 1735. 1.
13. 105. 1275. 0.
14. 505. 1365. 1.
15. 375. 1795. 1.
16. 355. 2035. 1.
17. 515. 1215. 1.
18. 135. 2235. 0.
19. 1065. 1985. 0.
20. 425. 1335. 1.
21. 385. 2155. 1.
22. 525. 1645. 1.
23. 285. 1515. 1.
24. 1015. 1555. 1.
25. 165. 2155. 0.
26. 615. 1725. 1.
27. 675. 1705. 1.
28. 825. 1555. 1.
29. 725. 2035. 1.
30. 175. 1265. 0.
31. 1085. 1305. 1.
32. 435. 1835. 1.
33. 165. 1645. 1.
34. 165. 1705. 1.
35. 935. 1655. 1.
36. 245. 1845. 1.
37. 1115. 1525. 0.
38. 1065. 1755. 0.
39. 685. 1465. 1.
40. 1075. 1365. 1.
41. 115. 2065. 0.
42. 435. 1335. 1.
43. 1105. 1715. 0.
44. 765. 2035. 1.
45. 1165. 1405. 0.
46. 105. 1655. 0.
47. 145. 1815. 0.
48. 165. 2065. 0.
49. 645. 1905. 1.
50. 85. 2015. 0.
51. 875. 2105. 1.
52. 1165. 1655. 0.
53. 45. 1955. 0.
54. 1085. 1605. 0.
55. 775. 2055. 1.
56. 1025. 1355. 1.
57. 575. 1695. 1.
58. 455. 1895. 1.
59. 325. 1555. 1.
60. 255. 2145. 0.
61. 25. 1905. 0.
62. 735. 2195. 1.
63. 885. 1515. 1.
64. 355. 2105. 1.
65. 765. 1435. 1.
66. 1135. 1405. 1.
67. 765. 1285. 1.
68. 1165. 1535. 0.
69. 925. 1575. 1.
70. 775. 1825. 1.
71. 795. 2065. 1.
72. 535. 1345. 1.
73. 195. 1715. 1.
74. 885. 2255. 1.
75. 755. 2225. 1.
76. 385. 1735. 1.
77. 375. 1245. 1.
78. 595. 2065. 1.
79. 705. 1815. 1.
80. 555. 1385. 1.
81. 485. 1665. 1.
82. 455. 1595. 1.
83. 605. 1565. 1.
84. 705. 1805. 1.
85. 715. 1955. 1.
86. 655. 1885. 1.
87. 625. 1615. 1.
88. 465. 1645. 1.
89. 765. 1775. 1.
90. 565. 1725. 1.
91. 485. 1615. 1.
92. 725. 1875. 1.
93. 725. 1685. 1.
94. 745. 1875. 1.
95. 725. 1895. 1.
96. 535. 1715. 1.
97. 715. 1845. 1.
98. 615. 1795. 1.
99. 585. 1525. 1.
100. 515. 1625. 1.
101. 505. 1555. 1.
102. 465. 1795. 1.
103. 505. 1765. 1.
104. 705. 1985. 1.
105. 665. 1745. 1.
106. 585. 1715. 1.
107. 585. 1755. 1.
108. 505. 1615. 1.
109. 455. 1635. 1.
110. 515. 1555. 1.
111. 475. 1815. 1.
112. 705. 1825. 1.
113. 505. 1665. 1.
114. 735. 1835. 1.
115. 605. 1795. 1.
116. 465. 1555. 1.
117. 715. 1775. 1.
118. 615. 1815. 1.
119. 575. 1935. 1.
120. 535. 1615. 1.
121. 635. 1905. 1.
122. 645. 1715. 1.
123. 685. 1975. 1.
124. 705. 1885. 1.
125. 735. 1935. 1.
126. 665. 1945. 1.
127. 695. 1755. 1.
128. 545. 1895. 1.
129. 565. 1615. 1.
130. 455. 1615. 1.
131. 475. 1805. 1.
132. 705. 1715. 1.
133. 515. 1645. 1.
134. 505. 1775. 1.
135. 545. 1715. 1.
136. 465. 1575. 1.
137. 565. 1755. 1.
138. 525. 1655. 1.
139. 645. 1695. 1.
140. 435. 1735. 1.
141. 535. 1515. 1.
142. 555. 1925. 1.
143. 725. 1845. 1.
144. 445. 1625. 1.
145. 665. 1755. 1.
146. 565. 1565. 1.
147. 615. 1805. 1.
148. 725. 1905. 1.
149. 125. 1325. 0.
150. 835. 2015. 1.
